Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"04/03/2022 10:30:19","03/03/2022","Calorific Value, Campbeltown","38.8000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(EA)","39.3000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(EM)","39.7000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(NE)","40.3000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(NO)","40.7000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(NT)","39.3000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(NW)","40.1000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(SC)","40.2000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(SE)","39.1000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(SO)","39.2000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(SW)","39.3000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(WM)","39.7000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(WN)","40.0000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, LDZ(WS)","39.1000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, Oban","38.8000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, Stornoway","93.0000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, Stranraer","38.8000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, Thurso","38.8000","04/03/2022 10:34:59",""
"04/03/2022 10:30:19","03/03/2022","Calorific Value, Wick","38.8000","04/03/2022 10:34:59",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(EA)","39.3000","03/03/2022 10:38:13",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(EM)","39.6000","03/03/2022 10:38:13",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(NE)","40.3000","03/03/2022 10:38:13",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(NO)","40.8000","03/03/2022 10:38:13",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(NT)","39.3000","03/03/2022 10:38:13",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(NW)","40.0000","03/03/2022 10:38:13",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(SC)","40.2000","03/03/2022 10:38:13",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(SE)","39.1000","03/03/2022 10:38:13",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(SO)","39.4000","03/03/2022 10:38:13",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(SW)","39.5000","03/03/2022 10:38:13",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(WM)","39.8000","03/03/2022 10:38:13",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(WN)","40.0000","03/03/2022 10:38:13",""
"03/03/2022 10:30:18","03/03/2022","Calorific Value, LDZ(WS)","39.3000","03/03/2022 10:38:13",""
